Code;Nom;Section
DEE;Département d'écologie et évolution;SSF
DMF;Département de microbiologie fondamentale;SSF
DBMV;Département de biologie moléculaire végétale;SSF
DNF;Département de neurosciences fondamentales;SSF
DP;Département de physiologie;SSF
DB;Département de biochimie;SSF
CIG;Centre intégratif de génomique;SSF
DGM;Département de génétique médicale;SSF
LICR;Centre Ludwig de l'Université de Lausanne pour la recherche sur le cancer;SSF
ISSEP;Institut des sciences du sport de l'Université de Lausanne;SSF
DPT;Département de pharmacologie et toxicologie;SSF
CNP-UNIL;Centre de neurosciences psychiatriques (CNP-UNIL);SSF
HOP;Hôpital ophtalmique;SSC
DEC-SSF;Décanat SSF;SSF
ISREC;Fondation ISREC;SSF
CIBM;Centre d'Imagerie Biomédicale;SSF
IBT;Institut de biotechnologie;SSF
PMU-IUMG;Institut Université de Médecine Générale (PMU-IUMG);SSC
